Id|Nombres|Apellidos|Celular|Email|FechaNacimiento|Documentos|Dni|IdProceso|Estado
74555e40-1278-49ed-ab8f-f9cb1d942f79|MATEO ALEJANDRO|GARCÍA DÍAZ|987654321|mateo.gracia@gmail.com|1999-02-09|P74555e40-1278-49ed-ab8f-f9cb1d942f79_Postulante.pdf|12345678|50039563-6fa8-4439-8b1b-709e6038432d|EN ESTREVISTA TÉCNICA
8a49a125-bb6b-4114-b419-1931e92aa7a1|VALENTINA ISABELLA|PÉREZ SÁNCHEZ|987654321|valentina.perez@email.com|1998-12-27|P8a49a125-bb6b-4114-b419-1931e92aa7a1_Postulante.pdf|87654321|50039563-6fa8-4439-8b1b-709e6038432d|APTO
6f19d252-d66d-4075-a36c-2e182b832d39|EMILIO SEBASTIÁN|PÉREZ MARTÍNEZ|90123456|emilio.perez@email|1990-12-31|P6f19d252-d66d-4075-a36c-2e182b832d39_Postulante.pdf|678654321||
213ca0ae-6318-428a-b116-94b0a7fb3eed|ALBERTO|FUJIMORI FUJIMORI|999812234|fujifilm@gmail.com|1950-12-11|P213ca0ae-6318-428a-b116-94b0a7fb3eed_Postulante.pdf|10101010||
93c5f913-4fc4-471e-9812-028bb310c8ed|SANTIAGO HIDALGO|GARCIA GARCIA|919293949|santi@gmail.com|1995-07-12|P93c5f913-4fc4-471e-9812-028bb310c8ed_Postulante.pdf|20202020||
ea01728d-88f0-46de-bd50-cb4606ed74b4|GONZALO|ESTRADA RIVAS|909090019|gonzalito@gmail.com|1995-06-25|Pea01728d-88f0-46de-bd50-cb4606ed74b4_Postulante.pdf|30303030||
9c668553-086f-4564-a0ec-286ff1d3d8eb|ALAN MANUEL|AURORA PESANTES|987654321|alancillo@gmail.com|1990-02-06|P9c668553-086f-4564-a0ec-286ff1d3d8eb_Postulante.pdf|40404040||
37d56689-1ba3-4c9d-aafc-1585f3676f5b|PAOLA LIZETH|BELLIDO CAPCHA|987654322|paola@gmail.com|1988-12-26|P37d56689-1ba3-4c9d-aafc-1585f3676f5b_Postulante.pdf|50505050||
28357c5c-1436-482c-9036-d5c165b535f2|SHELLY ESTEFANI|REYNOSO RUIZ|987654323|shelly@hotmail.com|1994-02-17|P28357c5c-1436-482c-9036-d5c165b535f2_Postulante.pdf|60606060||
fb6064e2-e8a8-4ccf-93de-110c75a05fc4|HUGO|ROCA ESPINOZA|945943857|hugo.roca@hotmail.com|1995-07-27|Pfb6064e2-e8a8-4ccf-93de-110c75a05fc4_Postulante.pdf|75424086|50039563-6fa8-4439-8b1b-709e6038432d|EN PROCESO
a832b28e-5dcb-4df5-aab4-cc73d62d8e18|JULIO ALBERTO|GARCIA LOPEZ|912345678|julio.garcia@email.com|1987-09-10|Pa832b28e-5dcb-4df5-aab4-cc73d62d8e18_Postulante.pdf|70707070||
b1243ec7-8a54-4cf8-89d4-79d9ef5c65fc|ROSA MARÍA|TORO VÁSQUEZ|923456789|rosa.toro@email.com|1992-06-03|Pb1243ec7-8a54-4cf8-89d4-79d9ef5c65fc_Postulante.pdf|234567890||
c987a451-8a56-4b7d-91f2-8bd93412c6f9|CARLOS ANDRÉS|RAMIREZ CRUZ|934567890|carlos.ramirez@email.com|1989-11-15|Pc987a451-8a56-4b7d-91f2-8bd93412c6f9_Postulante.pdf|345678901||
d745e218-6b71-4422-988b-54f6e6738f46|MARINA|FLORES SOTO|945678901|marina.flores@email.com|1995-03-28|Pd745e218-6b71-4422-988b-54f6e6738f46_Postulante.pdf|456789012||
e634d329-4dcf-4e9e-8d22-aa76f3311e17|JUAN CARLOS|SILVA GÓMEZ|956789012|juan.silva@email.com|1988-05-09|Pe634d329-4dcf-4e9e-8d22-aa76f3311e17_Postulante.pdf|567890123||
f472a3e8-2e13-4ff3-af1d-12c30c2a6522|ANA BEATRIZ|GUTIÉRREZ VEGA|967890123|ana.gutierrez@email.com|1993-08-22|Pf472a3e8-2e13-4ff3-af1d-12c30c2a6522_Postulante.pdf|678901234||
g361bc45-73d8-4ad2-bb94-2299e237c876|FERNANDO JOSÉ|LUNA SALAZAR|978901234|fernando.luna@email.com|1990-12-01|Pg361bc45-73d8-4ad2-bb94-2299e237c876_Postulante.pdf|789012345||
h2498f32-16d2-4429-843a-2c0ff0d60e16|CLAUDIA|RODRÍGUEZ TORO|989012345|claudia.rodriguez@email.com|1987-04-14|Ph2498f32-16d2-4429-843a-2c0ff0d60e16_Postulante.pdf|890123456||
